id	filename	md5	size	state
01849baf-6dfb-4dd6-a207-d29e2bcc95d9	ce786209-c77d-47e0-95a6-20c036bed8b3.FPKM.txt.gz	d10004cf5f1f7895bae6e14834ed9e8b	506566	validated
00ac50d7-061a-4697-b613-425f66665b4a	cead40ee-a5f8-4ce8-8273-bb8daedf0d5b.FPKM.txt.gz	e6b233badb5a5910668036101091737d	502152	validated
00575a83-e5a0-4614-b5fb-70e524ae68d9	4bf2bea7-00ef-485c-b9e5-035f0ea62b1d.FPKM.txt.gz	fa9b71a71ea264ddd180af6cdd6f2540	515620	validated
00bb33c9-2d73-46a2-9e54-0d7e3ff4967c	df44de4c-6ad7-4b45-b3e9-6543c32c2d8f.FPKM.txt.gz	f394e36caf09b0a8e34357f4ab748ff9	501825	validated
01b4cacd-1b74-4311-8b16-396e001a8a4f	42016929-9d4d-4125-b2f2-4b472c3fd772.FPKM.txt.gz	659a69b4a4ee6ea466c9623efa0b2609	521653	validated
00ebf1d3-7a4d-419e-a9ef-123f2c12f20c	0d56836d-6eb4-4736-9ad0-3c1139302043.FPKM.txt.gz	1cac70934ae129b024ac8de628d5edfc	490159	validated
006af4ef-77ce-4652-8f61-9c475caa9b89	022cbd07-3e20-4144-b2ab-8c76adffae73.FPKM.txt.gz	13f393e9da2ac0b28377c9880f21d511	506864	validated
00fad128-d883-48ea-8c28-bdb548be89f6	3c5a10cf-2088-4179-9dad-88fcb6165c7b.FPKM.txt.gz	1390cd2ac61ab57957f36ff2ca9bcc80	524604	validated
01c217d9-2305-4e79-b74a-ca4591c0179b	49523b41-16e1-4296-a0aa-7581568fb600.FPKM.txt.gz	699ac7f44cb3533f865c425fbde5a132	529936	validated
01cd816c-56e9-40a8-bd0c-eb8c602ded8c	9ce4048c-b607-4677-b874-647e9c29785d.FPKM.txt.gz	601c16074fefc2f77c43faf9d7614b8d	527992	validated
00782bca-2793-40a5-bfc9-33daebb8712e	a4b9a319-8f66-494e-8ada-530a1e8145d7.FPKM.txt.gz	0f63a2a5c2b0c91e99dd120be8f16b6c	502721	validated
01cfaa79-96ca-44ac-9f8a-614520c57717	956e52f2-475c-4aa3-9e99-0912e4612314.FPKM.txt.gz	832c1456ef6e702d091845f3d70ce53d	513391	validated
01063b4e-5a0d-4f11-8061-f8fd9a5f2fa5	5e3fd2aa-e0dd-4fe8-9944-05bba5d6bd91.FPKM.txt.gz	c89637df3bac5fb2410abb86d64e2652	510111	validated
01251f0a-3144-4751-8ac3-f2952b3dee74	c64d1d92-d8e9-491f-a408-9f81428987b3.FPKM.txt.gz	f3c5d4c4d38e8fd34f4ff10ad26a51e5	533995	validated
009702aa-2c36-4a88-916d-13e185473922	31e5c917-1866-4156-9eaa-84a72c310edc.FPKM.txt.gz	c34874b5a90b171ad8260c7f9bdbf9b0	501128	validated
